gene_id,POR_13_S81,POR_34_S82,POR_61_S83
Porites_compressa_HIv1___TS.g4902.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10258.t1,0,0,57
Porites_compressa_HIv1___TS.g4904.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10261.t1,0,634,0
Porites_compressa_HIv1___TS.g4907.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10263.t1,0,534,590
Porites_compressa_HIv1___RNAseq.g10265.t1,0,189,0
Porites_compressa_HIv1___RNAseq.g10266.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10267.t1,0,0,0
Porites_compressa_HIv1___TS.g4913.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10269.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10270.t1,0,0,0
Porites_compressa_HIv1___TS.g4919.t1,0,31,0
Porites_compressa_HIv1___RNAseq.g10274.t1,0,32,0
Porites_compressa_HIv1___TS.g4923.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10282.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10283.t1,0,229,0
Porites_compressa_HIv1___RNAseq.g10285.t1,0,0,119
Porites_compressa_HIv1___RNAseq.g10287.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10288.t1,0,0,1
Porites_compressa_HIv1___RNAseq.g10290.t1,0,17,0
Porites_compressa_HIv1___RNAseq.g10291.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10292.t1,0,26,0
Porites_compressa_HIv1___RNAseq.g10294.t1,0,2,0
Porites_compressa_HIv1___RNAseq.g10295.t1,0,393,968
Porites_compressa_HIv1___RNAseq.g10300.t1,0,199,103
Porites_compressa_HIv1___TS.g4949.t1,0,1,0
Porites_compressa_HIv1___RNAseq.g10302.t1,0,0,194
Porites_compressa_HIv1___RNAseq.g10303.t1,0,0,0
Porites_compressa_HIv1___TS.g4952.t1c,0,0,0
Porites_compressa_HIv1___TS.g4952.t1b,0,0,0
Porites_compressa_HIv1___TS.g4952.t1a,0,0,0
Porites_compressa_HIv1___RNAseq.g10306.t1,0,0,99
Porites_compressa_HIv1___RNAseq.g10308.t1,0,0,1
Porites_compressa_HIv1___RNAseq.g10311.t1,0,0,9
Porites_compressa_HIv1___RNAseq.g10312.t1,0,0,0
Porites_compressa_HIv1___TS.g4958.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10314.t1,0,81,141
Porites_compressa_HIv1___RNAseq.g10315.t1,0,0,19
Porites_compressa_HIv1___RNAseq.g10316.t1,0,0,0
Porites_compressa_HIv1___RNAseq.632_t,0,0,107
Porites_compressa_HIv1___TS.g4978.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10333.t1,0,1,1
Porites_compressa_HIv1___RNAseq.g10335.t1,0,52,0
Porites_compressa_HIv1___RNAseq.g10336.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10337.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10338.t1,0,1,0
Porites_compressa_HIv1___TS.g4987.t2a,0,0,0
Porites_compressa_HIv1___RNAseq.g10344.t1,0,476,0
Porites_compressa_HIv1___TS.g4999.t1,0,3,4
Porites_compressa_HIv1___RNAseq.g10355.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10356.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10358.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10359.t1,0,0,0
Porites_compressa_HIv1___TS.g5005.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10361.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10364.t1,0,67,0
Porites_compressa_HIv1___RNAseq.g10365.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10369.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10370.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10371.t1,0,0,0
Porites_compressa_HIv1___TS.g5018.t1,0,70,50
Porites_compressa_HIv1___TS.g5020.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10377.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10382.t1,0,248,0
Porites_compressa_HIv1___RNAseq.g10387.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10388.t1,0,285,7
Porites_compressa_HIv1___RNAseq.g10389.t1,0,75,28
Porites_compressa_HIv1___RNAseq.g10390.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10391.t1,0,29,0
Porites_compressa_HIv1___RNAseq.g10394.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10395.t1,0,183,0
Porites_compressa_HIv1___RNAseq.g10396.t1,0,7,0
Porites_compressa_HIv1___RNAseq.g10399.t1b,0,0,0
Porites_compressa_HIv1___RNAseq.g10399.t1a,0,0,0
Porites_compressa_HIv1___RNAseq.g10400.t1,0,386,0
Porites_compressa_HIv1___RNAseq.g10401.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10402.t1,0,0,0
Porites_compressa_HIv1___TS.g5045.t1,0,42,81
Porites_compressa_HIv1___RNAseq.g10407.t1,0,0,30
Porites_compressa_HIv1___RNAseq.g10409.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10410.t1,0,0,34
Porites_compressa_HIv1___RNAseq.g10415.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10416.t1,0,452,0
Porites_compressa_HIv1___TS.g5060.t1,0,3,0
Porites_compressa_HIv1___RNAseq.g10419.t1a,0,0,0
Porites_compressa_HIv1___RNAseq.g10423.t1,0,69,23
Porites_compressa_HIv1___TS.g5069.t1,0,17,0
Porites_compressa_HIv1___TS.g5088.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10448.t1,0,0,0
Porites_compressa_HIv1___TS.g5090.t1,0,0,0
Porites_compressa_HIv1___TS.g5091.t1,0,0,0
Porites_compressa_HIv1___TS.g5092.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10452.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10453.t1,0,22,0
Porites_compressa_HIv1___TS.g5095.t1,0,51,55
Porites_compressa_HIv1___RNAseq.g10455.t1,0,1,0
Porites_compressa_HIv1___RNAseq.g10456.t1,0,521,244
Porites_compressa_HIv1___RNAseq.g10457.t1,0,76,143
Porites_compressa_HIv1___RNAseq.g10458.t1,0,0,0
Porites_compressa_HIv1___TS.g5100.t1a,0,0,0
Porites_compressa_HIv1___RNAseq.g10462.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10465.t2,0,346,0
Porites_compressa_HIv1___RNAseq.g10467.t1,0,0,0
Porites_compressa_HIv1___TS.g5109.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10470.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10471.t1,0,18,0
Porites_compressa_HIv1___RNAseq.g10472.t1,0,859,0
Porites_compressa_HIv1___RNAseq.g10479.t1,0,0,0
Porites_compressa_HIv1___RNAseq.g10480.t1,0,0,205
Porites_compressa_HIv1___RNAseq.g10482.t1b,0,49,254
Porites_compressa_HIv1___TS.g5123.t1,0,0,0
