"","POR_13","POR_34","POR_61"
"Porites_compressa_HIv1___RNAseq.g10624.t1",10.3349080929433,10.3349080929433,10.7699279429406
"Porites_compressa_HIv1___RNAseq.g10631.t1",10.3349080929433,11.0511545020497,10.9348129211668
"Porites_compressa_HIv1___TS.g5270.t1",10.3349080929433,10.6541300249298,10.5067450497503
"Porites_compressa_HIv1___RNAseq.g10634.t1",10.3349080929433,10.5117087164698,10.4436258543425
"Porites_compressa_HIv1___RNAseq.g10641.t2",10.3349080929433,11.1091117613137,10.8337027801939
"Porites_compressa_HIv1___RNAseq.g10643.t1",10.3349080929433,10.3349080929433,10.9214876879695
"Porites_compressa_HIv1___RNAseq.g10647.t1",10.3349080929433,10.4330219056543,10.9202604227197
"Porites_compressa_HIv1___RNAseq.g10648.t1",10.3349080929433,10.6387947513507,11.2122596942917
"Porites_compressa_HIv1___TS.g5290.t1",10.3349080929433,10.5012081321622,10.3733535840386
"Porites_compressa_HIv1___RNAseq.941_t",10.3349080929433,10.3349080929433,10.6143666595864
"Porites_compressa_HIv1___RNAseq.g10659.t1",10.3349080929433,10.3349080929433,10.8380409691942
"Porites_compressa_HIv1___RNAseq.g10661.t1",10.3349080929433,10.5216169033512,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10662.t1",10.3349080929433,10.5648063998713,11.045932475901
"Porites_compressa_HIv1___TS.g5303.t1",10.3349080929433,10.9186903204686,10.6321881777162
"Porites_compressa_HIv1___RNAseq.g10668.t1",10.3349080929433,10.7971183296692,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10672.t1",10.3349080929433,10.3349080929433,10.9090905798678
"Porites_compressa_HIv1___RNAseq.g10677.t1",10.3349080929433,10.5340584355211,10.814432565022
"Porites_compressa_HIv1___TS.g5330.t1",10.3349080929433,10.8328140210242,10.9662629381275
"Porites_compressa_HIv1___RNAseq.g10693.t1",10.3349080929433,10.5699620240236,10.5345233689694
"Porites_compressa_HIv1___RNAseq.g10701.t1",10.3349080929433,10.3349080929433,10.5067450497503
"Porites_compressa_HIv1___RNAseq.g10702.t1",10.3349080929433,10.8292452843631,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10703.t1",10.3349080929433,11.5255264565492,11.085668282196
"Porites_compressa_HIv1___RNAseq.g10705.t1",10.3349080929433,11.027331054494,10.8951200618231
"Porites_compressa_HIv1___RNAseq.g10708.t1",10.3349080929433,10.8887869431204,10.8536249905438
"Porites_compressa_HIv1___RNAseq.g10709.t1",10.3349080929433,11.0043291747673,10.7563212299899
"Porites_compressa_HIv1___RNAseq.g10712.t1",10.3349080929433,10.6559946422449,10.9115924604133
"Porites_compressa_HIv1___RNAseq.g10717.t1",10.3349080929433,10.7880656128062,10.7163353474597
"Porites_compressa_HIv1___RNAseq.g10724.t1",10.3349080929433,10.5248041762871,11.1623276784069
"Porites_compressa_HIv1___RNAseq.g10725.t1",10.3349080929433,10.4938209235008,11.150387395222
"Porites_compressa_HIv1___RNAseq.g10728.t1",10.3349080929433,11.2292410501723,10.870087036728
"Porites_compressa_HIv1___RNAseq.g10731.t1",10.3349080929433,10.9470601690945,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10732.t1",10.3349080929433,10.3349080929433,10.5109833801462
"Porites_compressa_HIv1___RNAseq.g10733.t1",10.3349080929433,10.3349080929433,10.8605495972257
"Porites_compressa_HIv1___RNAseq.g10737.t1",10.3349080929433,10.8660288521691,11.2606882343808
"Porites_compressa_HIv1___RNAseq.g10744.t1",10.3349080929433,10.3349080929433,11.116962150924
"Porites_compressa_HIv1___RNAseq.g10748.t1",10.3349080929433,10.9658408522018,10.9673959232127
"Porites_compressa_HIv1___RNAseq.g10750.t1",10.3349080929433,11.1790205502704,11.0110626576632
"Porites_compressa_HIv1___RNAseq.g10773.t1",10.3349080929433,10.4899948649784,10.3349080929433
"Porites_compressa_HIv1___TS.g5412.t1",10.3349080929433,10.9126369294694,12.8109296108105
"Porites_compressa_HIv1___RNAseq.g10778.t1",10.3349080929433,10.772096239182,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10780.t1",10.3349080929433,10.6945388802971,10.6195739063581
"Porites_compressa_HIv1___RNAseq.g10783.t1",10.3349080929433,11.2165043096214,10.7313545698759
"Porites_compressa_HIv1___RNAseq.g10784.t1",10.3349080929433,10.8410394016585,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10785.t1",10.3349080929433,10.7498185981561,10.6536212839381
"Porites_compressa_HIv1___RNAseq.g10788.t1",10.3349080929433,10.5987706102455,10.3349080929433
"Porites_compressa_HIv1___RNAseq.1084_t",10.3349080929433,10.636822229533,10.3349080929433
"Porites_compressa_HIv1___RNAseq.g10794.t1",10.3349080929433,10.3349080929433,11.1954342521556
"Porites_compressa_HIv1___RNAseq.g10798.t1",10.3349080929433,11.0422198730525,10.897687268151
