"","POR_13","POR_34","POR_61"
"Porites_compressa_HIv1___RNAseq.g10389.t1",0,75,28
"Porites_compressa_HIv1___RNAseq.g10391.t1",0,29,0
"Porites_compressa_HIv1___RNAseq.g10395.t1",0,183,0
"Porites_compressa_HIv1___RNAseq.g10400.t1",0,386,0
"Porites_compressa_HIv1___TS.g5045.t1",0,42,81
"Porites_compressa_HIv1___RNAseq.g10407.t1",0,0,30
"Porites_compressa_HIv1___RNAseq.g10410.t1",0,0,34
"Porites_compressa_HIv1___RNAseq.g10416.t1",0,452,0
"Porites_compressa_HIv1___RNAseq.g10423.t1",0,69,23
"Porites_compressa_HIv1___TS.g5069.t1",0,17,0
"Porites_compressa_HIv1___RNAseq.g10453.t1",0,22,0
"Porites_compressa_HIv1___TS.g5095.t1",0,51,55
"Porites_compressa_HIv1___RNAseq.g10456.t1",0,521,244
"Porites_compressa_HIv1___RNAseq.g10457.t1",0,76,143
"Porites_compressa_HIv1___RNAseq.g10465.t2",0,346,0
"Porites_compressa_HIv1___RNAseq.g10471.t1",0,18,0
"Porites_compressa_HIv1___RNAseq.g10472.t1",0,859,0
"Porites_compressa_HIv1___RNAseq.g10480.t1",0,0,205
"Porites_compressa_HIv1___RNAseq.g10482.t1b",0,49,254
"Porites_compressa_HIv1___RNAseq.g10483.t1",0,0,293
"Porites_compressa_HIv1___RNAseq.g10484.t1",0,176,15
"Porites_compressa_HIv1___RNAseq.g10485.t1",0,25,240
"Porites_compressa_HIv1___TS.g5131.t1",0,20,124
"Porites_compressa_HIv1___RNAseq.g10492.t1",0,289,249
"Porites_compressa_HIv1___RNAseq.g10495.t1a",0,0,79
"Porites_compressa_HIv1___RNAseq.g10499.t1",0,0,654
"Porites_compressa_HIv1___RNAseq.g10505.t1",0,0,15
"Porites_compressa_HIv1___RNAseq.g10506.t1",0,0,118
"Porites_compressa_HIv1___TS.g5148.t1",0,214,0
"Porites_compressa_HIv1___RNAseq.g10514.t1",0,776,818
"Porites_compressa_HIv1___RNAseq.g10529.t1",0,0,524
"Porites_compressa_HIv1___RNAseq.g10530.t1a",0,14,120
"Porites_compressa_HIv1___RNAseq.g10533.t1",0,223,278
"Porites_compressa_HIv1___TS.g5174.t1",0,0,187
"Porites_compressa_HIv1___RNAseq.g10536.t1",0,516,229
"Porites_compressa_HIv1___RNAseq.g10542.t1",0,65,61
"Porites_compressa_HIv1___RNAseq.g10543.t1",0,47,379
"Porites_compressa_HIv1___RNAseq.g10547.t1b",0,167,0
"Porites_compressa_HIv1___RNAseq.g10547.t1a",0,29,10
"Porites_compressa_HIv1___RNAseq.g10558.t1",0,288,78
"Porites_compressa_HIv1___RNAseq.g10566.t1",0,0,223
"Porites_compressa_HIv1___RNAseq.g10569.t1",0,160,255
"Porites_compressa_HIv1___RNAseq.g10577.t1",0,0,70
"Porites_compressa_HIv1___RNAseq.g10579.t1",0,123,0
"Porites_compressa_HIv1___RNAseq.g10588.t2",0,386,410
"Porites_compressa_HIv1___RNAseq.g10592.t1",0,385,204
"Porites_compressa_HIv1___RNAseq.g10593.t1",0,66,0
"Porites_compressa_HIv1___RNAseq.g10594.t1",0,67,0
"Porites_compressa_HIv1___TS.g5237.t1",0,94,0
"Porites_compressa_HIv1___RNAseq.g10600.t1",0,0,353
"Porites_compressa_HIv1___RNAseq.g10603.t1",0,65,0
"Porites_compressa_HIv1___TS.g5247.t1",0,0,212
"Porites_compressa_HIv1___RNAseq.g10606.t1b",0,0,15
"Porites_compressa_HIv1___RNAseq.g10606.t1a",0,170,53
"Porites_compressa_HIv1___RNAseq.g10611.t1",0,146,158
"Porites_compressa_HIv1___RNAseq.g10612.t1",0,109,40
"Porites_compressa_HIv1___RNAseq.g10618.t1",0,57,44
"Porites_compressa_HIv1___RNAseq.g10619.t1",0,169,84
"Porites_compressa_HIv1___RNAseq.g10621.t1",0,173,0
"Porites_compressa_HIv1___RNAseq.g10624.t1",0,0,129
"Porites_compressa_HIv1___RNAseq.g10631.t1",0,435,247
"Porites_compressa_HIv1___TS.g5270.t1",0,85,20
"Porites_compressa_HIv1___RNAseq.g10634.t1",0,26,8
"Porites_compressa_HIv1___RNAseq.g10641.t2",0,510,170
"Porites_compressa_HIv1___RNAseq.g10643.t1",0,0,236
"Porites_compressa_HIv1___RNAseq.g10647.t1",0,8,235
"Porites_compressa_HIv1___RNAseq.g10648.t1",0,77,537
"Porites_compressa_HIv1___TS.g5290.t1",0,23,1
"Porites_compressa_HIv1___RNAseq.941_t",0,0,53
"Porites_compressa_HIv1___RNAseq.g10659.t1",0,0,173
"Porites_compressa_HIv1___RNAseq.g10661.t1",0,29,0
"Porites_compressa_HIv1___RNAseq.g10662.t1",0,44,349
"Porites_compressa_HIv1___TS.g5303.t1",0,287,60
"Porites_compressa_HIv1___RNAseq.g10668.t1",0,179,0
"Porites_compressa_HIv1___RNAseq.g10672.t1",0,0,226
"Porites_compressa_HIv1___RNAseq.g10677.t1",0,33,157
"Porites_compressa_HIv1___TS.g5330.t1",0,208,274
"Porites_compressa_HIv1___RNAseq.g10693.t1",0,46,27
"Porites_compressa_HIv1___RNAseq.g10701.t1",0,0,20
"Porites_compressa_HIv1___RNAseq.g10702.t1",0,205,0
"Porites_compressa_HIv1___RNAseq.g10703.t1",0,1246,390
"Porites_compressa_HIv1___RNAseq.g10705.t1",0,406,215
"Porites_compressa_HIv1___RNAseq.g10708.t1",0,258,184
"Porites_compressa_HIv1___RNAseq.g10709.t1",0,379,121
"Porites_compressa_HIv1___RNAseq.g10712.t1",0,86,228
"Porites_compressa_HIv1___RNAseq.g10717.t1",0,172,99
"Porites_compressa_HIv1___RNAseq.g10724.t1",0,30,476
"Porites_compressa_HIv1___RNAseq.g10725.t1",0,21,462
"Porites_compressa_HIv1___RNAseq.g10728.t1",0,686,196
"Porites_compressa_HIv1___RNAseq.g10731.t1",0,316,0
"Porites_compressa_HIv1___RNAseq.g10732.t1",0,0,21
"Porites_compressa_HIv1___RNAseq.g10733.t1",0,0,189
"Porites_compressa_HIv1___RNAseq.g10737.t1",0,237,600
"Porites_compressa_HIv1___RNAseq.g10744.t1",0,0,424
"Porites_compressa_HIv1___RNAseq.g10748.t1",0,336,275
"Porites_compressa_HIv1___RNAseq.g10750.t1",0,609,315
"Porites_compressa_HIv1___RNAseq.g10773.t1",0,20,0
"Porites_compressa_HIv1___TS.g5412.t1",0,281,5271
"Porites_compressa_HIv1___RNAseq.g10778.t1",0,160,0
"Porites_compressa_HIv1___RNAseq.g10780.t1",0,108,55
"Porites_compressa_HIv1___RNAseq.g10783.t1",0,666,107
"Porites_compressa_HIv1___RNAseq.g10784.t1",0,215,0
"Porites_compressa_HIv1___RNAseq.g10785.t1",0,144,69
"Porites_compressa_HIv1___RNAseq.g10788.t1",0,58,0
"Porites_compressa_HIv1___RNAseq.1084_t",0,76,0
"Porites_compressa_HIv1___RNAseq.g10794.t1",0,0,516
"Porites_compressa_HIv1___RNAseq.g10798.t1",0,424,217
"Porites_compressa_HIv1___RNAseq.g10800.t1",0,179,235
"Porites_compressa_HIv1___RNAseq.g10805.t2a",0,337,9
"Porites_compressa_HIv1___RNAseq.g10806.t1",0,101,0
"Porites_compressa_HIv1___RNAseq.g10807.t1",0,0,135
"Porites_compressa_HIv1___RNAseq.g10810.t1",0,473,662
"Porites_compressa_HIv1___RNAseq.g10811.t1",0,0,99
"Porites_compressa_HIv1___RNAseq.g10815.t1",0,888,399
"Porites_compressa_HIv1___RNAseq.g10816.t1",0,49,42
"Porites_compressa_HIv1___RNAseq.g10817.t1",0,81,56
"Porites_compressa_HIv1___RNAseq.g10822.t1",0,107,93
"Porites_compressa_HIv1___RNAseq.g10826.t1",0,3,113
"Porites_compressa_HIv1___RNAseq.g10827.t1",0,38,0
"Porites_compressa_HIv1___RNAseq.g10830.t1",0,7,121
"Porites_compressa_HIv1___RNAseq.g10831.t1",0,51,0
"Porites_compressa_HIv1___RNAseq.g10834.t2",0,50,17
"Porites_compressa_HIv1___RNAseq.g10835.t1",0,180,0
"Porites_compressa_HIv1___TS.g5476.t1c",0,82,0
"Porites_compressa_HIv1___TS.g5476.t1a",0,0,254
"Porites_compressa_HIv1___RNAseq.g10839.t1",0,0,31
"Porites_compressa_HIv1___TS.g5485.t1",0,269,47
"Porites_compressa_HIv1___RNAseq.g10848.t1",0,0,43
"Porites_compressa_HIv1___TS.g5488.t1",0,0,283
"Porites_compressa_HIv1___RNAseq.g10850.t1",0,0,40
"Porites_compressa_HIv1___RNAseq.g10852.t1",0,183,16
"Porites_compressa_HIv1___RNAseq.g10857.t1",0,339,0
"Porites_compressa_HIv1___RNAseq.g10867.t1",0,0,36
"Porites_compressa_HIv1___RNAseq.g10868.t2",0,0,123
"Porites_compressa_HIv1___TS.g5510.t1",0,526,56
"Porites_compressa_HIv1___RNAseq.g10871.t1",0,132,58
"Porites_compressa_HIv1___TS.g5511.t1",0,0,29
"Porites_compressa_HIv1___RNAseq.g10882.t1",0,0,276
"Porites_compressa_HIv1___RNAseq.g10886.t1",0,204,0
"Porites_compressa_HIv1___RNAseq.g10889.t1",0,25,0
"Porites_compressa_HIv1___RNAseq.g10892.t1",0,443,100
"Porites_compressa_HIv1___RNAseq.g10895.t1",0,37,29
"Porites_compressa_HIv1___TS.g5547.t2",0,1143,278
"Porites_compressa_HIv1___RNAseq.g10912.t1",0,23,0
"Porites_compressa_HIv1___RNAseq.g10913.t1",0,47,0
"Porites_compressa_HIv1___RNAseq.g10914.t1",0,44,0
"Porites_compressa_HIv1___RNAseq.g10915.t1",0,29,0
"Porites_compressa_HIv1___RNAseq.g10916.t1",0,16,0
"Porites_compressa_HIv1___RNAseq.g10917.t1",0,11,0
"Porites_compressa_HIv1___RNAseq.g10918.t1",0,0,141
"Porites_compressa_HIv1___RNAseq.g10919.t1",0,0,23
"Porites_compressa_HIv1___RNAseq.g10920.t1",0,0,81
"Porites_compressa_HIv1___RNAseq.g10921.t1",0,37,10
"Porites_compressa_HIv1___RNAseq.g10922.t3",0,114,412
"Porites_compressa_HIv1___RNAseq.g10929.t1",0,23,194
"Porites_compressa_HIv1___RNAseq.g10935.t1",0,218,0
"Porites_compressa_HIv1___RNAseq.g10939.t1",0,15,0
"Porites_compressa_HIv1___RNAseq.g10940.t1",0,28,0
"Porites_compressa_HIv1___RNAseq.g10941.t1",0,128,2
"Porites_compressa_HIv1___RNAseq.g10942.t1",0,303,0
"Porites_compressa_HIv1___RNAseq.g10943.t1",0,135,51
"Porites_compressa_HIv1___RNAseq.g10944.t1",0,82,0
"Porites_compressa_HIv1___RNAseq.g10945.t1",0,135,294
"Porites_compressa_HIv1___RNAseq.g10949.t1",0,266,0
"Porites_compressa_HIv1___RNAseq.g10952.t1",0,774,533
"Porites_compressa_HIv1___RNAseq.g10962.t1",0,779,371
"Porites_compressa_HIv1___RNAseq.g10981.t1",0,10,329
"Porites_compressa_HIv1___RNAseq.g10983.t1",0,127,0
"Porites_compressa_HIv1___RNAseq.g10989.t1",0,273,681
"Porites_compressa_HIv1___RNAseq.g10992.t1",0,0,20
"Porites_compressa_HIv1___RNAseq.g10995.t1",0,0,47
"Porites_compressa_HIv1___RNAseq.g11000.t1",0,0,132
"Porites_compressa_HIv1___RNAseq.g11002.t1",0,64,0
"Porites_compressa_HIv1___RNAseq.g11003.t2",0,151,207
"Porites_compressa_HIv1___RNAseq.g11012.t1",0,247,53
"Porites_compressa_HIv1___RNAseq.g11013.t1",0,41,0
"Porites_compressa_HIv1___RNAseq.g11028.t1b",0,272,0
"Porites_compressa_HIv1___RNAseq.g11028.t1a",0,0,49
